background,body,earrings,face,gender,head,outfit,title,description,media,tags,rarity_score,rarity_rank
THE INJECTIVE LORD,THE INJECTIVE LORD,NONE,THE INJECTIVE LORD,MALE,THE INJECTIVE LORD,THE INJECTIVE LORD,THE INJECTIVE LORD,The one and only Injective Lord. The visionary creator and all-powerful overseer of the Injective ecosystem.,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE INJECTIVE LORD.png,[],42.74536068961567,2.0
"BK, THE ARCHITECT","BK, THE ARCHITECT",NONE,"BK, THE ARCHITECT",MALE,"BK, THE ARCHITECT","BK, THE ARCHITECT","BK, THE ARCHITECT","A brainiac behind the scenes, orchestrating stability within the Injective Ecosystem. A brilliant marketer but sometimes a dictator.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/BK, THE ARCHITECT.png",[],42.74536068961567,2.0
THE SHADOW,THE SHADOW,NONE,THE SHADOW,MALE,THE SHADOW,THE SHADOW,THE SHADOW,"Everyone carries a shadow, and the less it is embodied in the individual's conscious life, the blacker and denser it is.",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE SHADOW.png,[],42.74536068961567,2.0
THE REAPER OF LIQUIDATION,THE REAPER OF LIQUIDATION,NONE,THE REAPER OF LIQUIDATION,MALE,THE REAPER OF LIQUIDATION,THE REAPER OF LIQUIDATION,THE REAPER OF LIQUIDATION,"The fear of liquidation is one of the most common wreckages amongst Anons. The higher leverage you play with, the more active the reaper of liquidation becomes.",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE REAPER OF LIQUIDATION.png,[],42.74536068961567,2.0
"RUMI, THE MEVLANA","RUMI, THE MEVLANA",NONE,"RUMI, THE MEVLANA",MALE,"RUMI, THE MEVLANA","RUMI, THE MEVLANA","RUMI, THE MEVLANA","Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it. He made the door, he made the lock, and he also made the key.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/RUMI, THE MEVLANA.png",[],42.74536068961567,2.0
"BOJAN, THE GREAT","BOJAN, THE GREAT",NONE,"BOJAN, THE GREAT",MALE,"BOJAN, THE GREAT","BOJAN, THE GREAT","BOJAN, THE GREAT","The greatest gunner who ever lived. Expertly crafting and deploying innovative solutions on Injective, he wields the Hammer of Justice decisively against the bears.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/BOJAN, THE GREAT.png",[],42.74536068961567,2.0
THE DEMON,THE DEMON,NONE,THE DEMON,MALE,THE DEMON,THE DEMON,THE DEMON,Prepare yourself to confront your demons on the journey toward individuation.,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE DEMON.png,[],42.74536068961567,2.0
"ALBERT, THE CHEF","ALBERT, THE CHEF",NONE,"ALBERT, THE CHEF",MALE,"ALBERT, THE CHEF","ALBERT, THE CHEF","ALBERT, THE CHEF",The head chef. Some say he doesn't exist. Others say he is an AI sent from space to cook forth the financial revolution the world is so desperately in need of.,"ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/ALBERT, THE CHEF.png",[],42.74536068961567,2.0
THE ANON,THE ANON,NONE,THE ANON,MALE,THE ANON,THE ANON,THE ANON,Our shadow. Our unconscious mind.,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE ANON.png,[],42.74536068961567,2.0
THE INSPECTOR,THE INSPECTOR,NONE,THE INSPECTOR,MALE,THE INSPECTOR,THE INSPECTOR,THE INSPECTOR,"The keen investigator within the Injective ecosystem, using his sharp detective skills to catch mischievous behavior and prevent disruptions.",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE INSPECTOR.png,[],42.74536068961567,2.0
"BART, THE UNDEAD","BART, THE UNDEAD",NONE,"BART, THE UNDEAD",MALE,"BART, THE UNDEAD","BART, THE UNDEAD","BART, THE UNDEAD","The founding father of the 'nINJa' theme. Gone but not forgotten. Though dead, he lives on in spirit. He is Bart de Boos.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/BART, THE UNDEAD.png",[],42.74536068961567,2.0
THE NINJA TURTLE,THE NINJA TURTLE,NONE,THE NINJA TURTLE,MALE,THE NINJA TURTLE,THE NINJA TURTLE,THE NINJA TURTLE,"An homage to the cardboard 'nINJa' tourists who donned their cardboard 'nINJa' uniforms while Injective basked in euphoria, only to vanish when liquidity dried up. The game is the game, right?",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE NINJA TURTLE.png,[],42.74536068961567,2.0
"KAYO, THE SERVANT","KAYO, THE SERVANT",NONE,"KAYO, THE SERVANT",MALE,"KAYO, THE SERVANT","KAYO, THE SERVANT","KAYO, THE SERVANT","The first Injective 'nINJa', The first Injective Master Ambassador, and The first devotee to the Cult of Anons.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/KAYO, THE SERVANT.png",[],42.74536068961567,2.0
"ERIC, THE SWEEPER","ERIC, THE SWEEPER",NONE,"ERIC, THE SWEEPER",MALE,"ERIC, THE SWEEPER","ERIC, THE SWEEPER","ERIC, THE SWEEPER","A DJ, a developer, a sweeper, a founder, but most importantly, a lover of Red Bull.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/ERIC, THE SWEEPER.png",[],42.74536068961567,2.0
THE KING,THE KING,NONE,THE KING,MALE,THE KING,THE KING,THE KING,"Sovereign of Injective, commanding respect and admiration. He reigns supreme over the ecosystem, ensuring prosperity for our Anons.",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE KING.png,[],42.74536068961567,2.0
