title,description,background,face,body,weapon,head,necklace,media,tags,rarity_score,rarity_rank
Ninja #5269,It's time.,Blue,Nan,Red Ninja,Cigarette,Cowboy Hat,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5269.jpeg,[],31.676105814134498,1410.0
Ninja #4691,It's time.,Lilac,Shuriken,Black Ninja,Candy Cane,Wreath,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4691.jpeg,[],31.675860321583215,1411.0
Ninja #5292,It's time.,Red,Gold Bow,Blue Ninja,Pipe,Flash,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5292.jpeg,[],31.67582107918895,1412.0
Ninja #2561,It's time.,Orange,Scythe,Purple Ninja,Pipe,Ball Cap,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2561.jpeg,[],31.675623942394775,1413.0
Ninja #4779,It's time.,Glow,Bow,Blue Ninja,Ghost Mask,Ball Cap,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4779.jpeg,[],31.675423664632504,1414.0
Ninja #3414,It's time.,Scripture,Scythe,Pink Ninja,Jason Mask,Arrow,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3414.jpeg,[],31.67534555936486,1415.0
Ninja #1663,It's time.,Mint,Nan,Gold Ninja,Jason Mask,Durag,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1663.jpeg,[],31.674743777184826,1416.0
Ninja #2284,It's time.,Red,Shuriken,Grey Ninja,Pipe,Red Headband,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2284.jpeg,[],31.674487766055286,1417.0
Ninja #2713,It's time.,Scripture,Ball And Chain,Green Ninja,Pipe,Flame,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2713.jpeg,[],31.67435335991881,1418.0
Ninja #1577,It's time.,Mint,Shuriken,White Ninja,Laser Eyes,Flame,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1577.jpeg,[],31.67401878867932,1419.0
Ninja #3611,It's time.,Mint,Scythe,Gold Ninja,Candy Cane,Horns,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3611.jpeg,[],31.673889309555747,1420.0
Ninja #3173,It's time.,Lilac,Red Sword,Blue Ninja,Jason Mask,Thorn Crown,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3173.jpeg,[],31.673578782867246,1421.0
Ninja #2030,It's time.,Scripture,Gold Sword,Gold Ninja,Jason Mask,Arrow,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2030.jpeg,[],31.67343727923029,1422.0
Ninja #2953,It's time.,Orange,Scythe,Black Ninja,Jason Mask,Headphones,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2953.jpeg,[],31.673113914948726,1423.0
Ninja #4102,It's time.,Red,Bow,Purple Ninja,Ghost Mask,Blue Flame,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4102.jpeg,[],31.672088864127538,1424.0
Ninja #893,It's time.,Orange,Bow,Red Ninja,Pipe,Flame,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/893.jpeg,[],31.671949712323503,1425.0
Ninja #3687,It's time.,Lilac,Gold Sword,Gold Ninja,Jason Mask,Crown,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3687.jpeg,[],31.671863998146687,1426.0
